given,family,sequence,affiliation,DOI
Nicholas O.,Ugwu,additional,"University of Nigeria, Nsukka, Nigeria",10.1177/21582440211041076
Zheng,Li,first,"East China Normal University, Shanghai, China",10.1177/21582440211059179
A. Y. M. Atiquil,Islam,additional,"East China Normal University, Shanghai, China + Shanghai International Studies University, China",10.1177/21582440211059179
Michael Ehis,Odijie,first,"UCL, UK",10.1177/21582440211031513
Mohammed Zayan,Imoro,additional,"UCL, UK",10.1177/21582440211031513
Chanceline,Kwakep epse Semegni,first,"University of the Western Cape, Cape Town, South Africa",10.1177/2158244020963067
Deliwe Rene,Phetlhu,additional,"University of the Western Cape, Cape Town, South Africa",10.1177/2158244020963067
Regis Rugira,Marie Modeste,additional,"Cape Peninsula University of Technology, Cape Town, South Africa",10.1177/2158244020963067
Sebastian,Gerbeth,first,"University of Regensburg, Germany",10.1177/21582440211009220
Elena,Stamouli,additional,"University of Regensburg, Germany",10.1177/21582440211009220
Regina H.,Mulder,additional,"University of Regensburg, Germany",10.1177/21582440211009220
Mei,Han,first,"Research Center of Complex Network System and Innovation, Tianjin University of Finance and Economics, China",10.1177/21582440211061539
Bilin,Xu,additional,"Research Center of Complex Network System and Innovation, Tianjin University of Finance and Economics, China",10.1177/21582440211061539
Biyue,Lin,first,"Xiamen University of Technology, Xiamen, China + Jimei University, Xiamen, China",10.1177/21582440211032678
Shoukat Iqbal,Khattak,additional,"Xiamen University of Technology, Xiamen, China + Jimei University, Xiamen, China",10.1177/21582440211032678
Bei,Zhao,additional,"Xiamen University, Xiamen, China",10.1177/21582440211032678
Jian Ming,Luo,first,"Faculty of International Tourism and Management, City University of Macau, Macao, China",10.1177/21582440211030277
Ka Yin,Chau,additional,"Faculty of Business, City University of Macau, Macao, China",10.1177/21582440211030277
Yulan,Fan,additional,"School of Tourism Management, Sun Yat-Sen University, Zhuhai, China",10.1177/21582440211030277
Hong,Chen,additional,"Faculty of International Tourism and Management, City University of Macau, Macao, China",10.1177/21582440211030277
Ville-Pekka,Niskanen,first,"University of Vaasa, Finland + University of Helsinki, Finland",10.1177/21582440211032163
